Year,Player,Age,Hometown,Home State,Tm,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year
2008,Aaron Rodgers,25,Chico,CA,GNB,74,0,California,Pac 12,90,94,12/2/1983,1,2005
2000,Donovan McNabb,24,Chicago,IL,PHI,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999
2013,Andrew Luck,24,Washington,DC,IND,75,235,Stanford,Pac 12,101,81,9/12/1989,1,2012
2002,Michael Vick,22,Newport News,VA,ATL,73,215,Virginia Tech,ACC,147,50,6/26/1980,1,2001
2000,Eddie George,27,Philadelphia,PA,TEN,75,235,Ohio St.,Big Ten,138,41,9/24/1973,1,1996
2010,Philip Rivers,29,Decatur,AL,SDG,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004
2009,Adrian Peterson,24,Palestine,TX,MIN,70,210,Oklahoma,Big 12,160,39,3/21/1985,1,2007
2002,Clinton Portis,21,Laurel,MS,DEN,71,205,Miami (FL),ACC,130,58,9/1/1981,2,2002
2011,Eli Manning,30,New Orleans,LA,NYG,76,218,Mississippi,SEC,92,91,1/3/1981,1,2004
2010,Peyton Manning,34,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2007,Randy Moss,30,Rand,WV,NWE,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998
2013,Philip Rivers,32,Decatur,AL,SDG,77,228,North Carolina St.,ACC,98,88,12/8/1981,1,2004
2008,Philip Rivers,27,Decatur,AL,SDG,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004
2009,Brett Favre,40,Gulfport,MS,MIN,74,0,Southern Miss,Conference USA,104,85,10/10/1969,2,1991
2004,LaDainian Tomlinson,25,Rosebud,TX,SDG,70,221,TCU,Big 12,138,49,6/23/1979,1,2001
2008,DeAngelo Williams,25,Little Rock,AR,CAR,68,210,Memphis,American,68,112,4/25/1983,1,2006
2013,Andy Dalton,26,0,,CIN,74,215,TCU,Big 12,138,49,1/0/1900,2,2011
2003,Daunte Culpepper,26,Ocala,FL,MIN,76,0,Central Florida,American,99,86,1/28/1977,1,1999
2009,Matt Schaub,28,West Chester,PA,HOU,77,0,Virginia,ACC,90,95,6/25/1981,3,2004
2011,Tony Romo,31,San Diego,CA,DAL,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0
2009,Tony Romo,29,San Diego,CA,DAL,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0
2011,LeSean McCoy,23,Harrisburg,PA,PHI,12,215,Pittsburgh,ACC,106,80,7/12/1988,2,2009
2007,Brian Westbrook,28,Washington,DC,PHI,68,200,Villanova,Big East,#N/A,#N/A,9/2/1979,3,2002
2008,Jay Cutler,25,Santa Claus,IN,DEN,75,0,Vanderbilt,SEC,65,114,4/29/1983,1,2006
2001,Rich Gannon,36,Philadelphia,PA,OAK,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987
2011,Matt Ryan,26,Exton,PA,ATL,77,224,Boston Col.,ACC,116,74,5/17/1985,1,2008
2012,Tony Romo,32,San Diego,CA,DAL,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,1/0/1900,0,0
2013,Matthew Stafford,25,Tampa,FL,DET,74,230,Georgia,SEC,142,53,2/7/1988,1,2009
2013,LeSean McCoy,25,Harrisburg,PA,PHI,70,215,Pittsburgh,ACC,106,80,7/12/1988,2,2009
2009,Peyton Manning,33,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2004,Curtis Martin,31,Pittsburgh,PA,NYJ,71,210,Pittsburgh,ACC,106,80,5/1/1973,3,1995
2012,Russell Wilson,24,Richmond,VA,SEA,71,0,Wisconsin,Big Ten,135,60,1/0/1900,3,0
2003,Clinton Portis,22,Laurel,MS,DEN,71,205,Miami (FL),ACC,130,58,9/1/1981,2,2002
2008,Kurt Warner,37,Burlington,IA,ARI,74,0,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0
2007,Peyton Manning,31,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2001,Priest Holmes,28,Fort Smith,AR,KAN,69,213,Texas,Big 12,149,45,10/7/1973,0,0
2012,Matthew Stafford,24,Tampa,FL,DET,74,0,Georgia,SEC,142,53,1/0/1900,1,2009
2008,Michael Turner,26,Waukegan,IL,ATL,70,237,Northern Illinois,MAC,119,69,2/13/1982,5,2004
2012,Andrew Luck,23,Washington,DC,IND,75,0,Stanford,Pac 12,101,81,1/0/1900,1,2012
2009,Philip Rivers,28,Decatur,AL,SDG,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004
2009,Tom Brady,32,San Mateo,CA,NWE,76,0,Michigan,Big Ten,124,64,8/3/1977,6,2000
2009,Ben Roethlisberger,27,Findlay,OH,PIT,77,0,Miami (OH),MAC,84,99,3/2/1982,1,2004
2010,Drew Brees,31,Austin,TX,NOR,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001
2009,Maurice Jones-Drew,24,Pinole,CA,JAX,68,205,UCLA,Pac 12,100,88,3/23/1985,2,2006
2002,Shaun Alexander,25,Florence,KY,SEA,71,225,Alabama,SEC,114,58,8/30/1977,1,2000
2006,Frank Gore,23,Coral Gables,FL,SFO,69,215,Miami (FL),ACC,130,58,5/14/1983,3,2005
2001,Steve McNair,28,Mount Olive,MS,TEN,74,235,Alcorn St.,SWAC,#N/A,#N/A,2/14/1973,1,1995
2003,Peyton Manning,27,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2002,Deuce McAllister,24,Lena,MS,NOR,73,232,Mississippi,SEC,92,91,12/27/1978,1,2001
2005,Carson Palmer,26,Fresno,CA,CIN,77,0,USC,Pac 12,129,49,12/27/1979,1,2003
2003,Shaun Alexander,26,Florence,KY,SEA,71,225,Alabama,SEC,114,58,8/30/1977,1,2000
2002,Peyton Manning,26,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2006,Michael Vick,26,Newport News,VA,ATL,73,0,Virginia Tech,ACC,147,50,6/26/1980,1,2001
2004,Trent Green,34,Cedar Rapids,IA,KAN,75,217,Indiana,Big Ten,58,118,7/9/1970,8,1993
2005,Edgerrin James,27,Immokalee,FL,IND,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999
2000,Elvis Grbac,30,Cleveland,OH,KAN,77,232,Michigan,Big Ten,124,64,8/13/1970,0,1993
2006,Willie Parker,26,Clinton,NC,PIT,70,209,North Carolina,ACC,70,97,11/11/1980,0,0
2001,Brett Favre,32,Gulfport,MS,GNB,74,225,Southern Miss,Conference USA,104,85,10/10/1969,2,1991
2013,Russell Wilson,25,Richmond,VA,SEA,71,203,Wisconsin,Big Ten,135,60,11/29/1988,3,2012
2003,Randy Moss,26,Rand,WV,MIN,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998
2007,Ben Roethlisberger,25,Findlay,OH,PIT,77,240,Miami (OH),MAC,84,99,3/2/1982,1,2004
2001,Peyton Manning,25,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2006,Drew Brees,27,Austin,TX,NOR,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001
2001,Donovan McNabb,25,Chicago,IL,PHI,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999
2002,Aaron Brooks,26,Newport News,VA,NOR,76,220,Virginia,ACC,90,95,3/24/1976,4,1999
1999,Rich Gannon,34,Philadelphia,PA,OAK,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987
2011,Calvin Johnson,26,Tyrone,GA,DET,77,239,Georgia Tech,ACC,117,77,9/25/1985,1,2007
2011,Philip Rivers,30,Decatur,AL,SDG,77,228,North Carolina St.,ACC,98,88,12/8/1981,1,2004
2007,Drew Brees,28,Austin,TX,NOR,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001
2010,Josh Freeman,22,Kansas City,MO,TAM,78,0,Kansas St.,Big 12,118,71,1/13/1988,1,2009
2003,Deuce McAllister,25,Lena,MS,NOR,73,232,Mississippi,SEC,92,91,12/27/1978,1,2001
2001,Ahman Green,24,Omaha,NE,GNB,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998
2011,Maurice Jones-Drew,26,Pinole,CA,JAX,68,205,UCLA,Pac 12,100,88,3/23/1985,2,2006
2002,Tiki Barber,27,Roanoke,VA,NYG,70,200,Virginia,ACC,90,95,4/7/1975,2,1997
2012,Doug Martin,23,Stockton,CA,TAM,69,223,Boise St.,Mountain West,165,29,8/10/1900,1,2012
2013,Matt Forte,28,Lake Charles,LA,CHI,73,221,Tulane,American,60,119,12/10/1985,2,2008
2001,Shaun Alexander,24,Florence,KY,SEA,71,225,Alabama,SEC,114,58,8/30/1977,1,2000
2004,Domanick Williams,24,Lafayette,LA,HOU,69,216,LSU,SEC,146,48,10/1/1980,4,2003
2013,Colin Kaepernick,26,Milwaukee,WI,SFO,76,225,Nevada-Reno,Mountain West,93,93,11/3/1987,2,2011
2012,Arian Foster,26,San Diego,CA,HOU,73,232,Tennessee,SEC,113,75,8/19/1900,0,0
2013,Tony Romo,33,San Diego,CA,DAL,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0
1999,Peyton Manning,23,New Orleans,LA,IND,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998
2013,Nick Foles,24,Austin,TX,PHI,77,244,Arizona,Pac 12,82,99,1/20/1989,3,2012
2004,Jake Delhomme,29,Breaux Bridge,LA,CAR,74,215,La-Lafayette,Sun Belt,74,104,1/10/1975,0,0
2004,Edgerrin James,26,Immokalee,FL,IND,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999
2013,Ben Roethlisberger,31,Findlay,OH,PIT,77,240,Miami (OH),MAC,84,99,3/2/1982,1,2004
2002,Jeff Garcia,32,Gilroy,CA,SFO,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0
2002,Travis Henry,24,Frostproof,FL,BUF,69,215,Tennessee,SEC,113,75,10/29/1978,2,2001
2002,Drew Bledsoe,30,Ellensburg,WA,BUF,77,238,Washington St.,Pac 12,75,106,2/14/1972,1,1993
2004,Jake Plummer,30,Boise,ID,DEN,74,212,Arizona St.,Pac 12,101,86,12/19/1974,2,1997
2007,Matt Hasselbeck,32,Westwood,MA,SEA,76,223,Boston Col.,ACC,116,74,9/25/1975,6,1998
2010,Matt Ryan,25,Exton,PA,ATL,77,0,Boston Col.,ACC,116,74,5/17/1985,1,2008
2000,Mike Anderson,27,Winnsboro,SC,DEN,73,230,Utah,Pac 12,123,61,9/21/1973,0,2000
2006,Brian Westbrook,27,Washington,DC,PHI,68,200,Villanova,Big East,#N/A,#N/A,9/2/1979,3,2002
2006,Marc Bulger,29,Pittsburgh,PA,STL,75,0,West Virginia,Big 12,120,67,4/5/1977,6,2000
2002,Steve McNair,29,Mount Olive,MS,TEN,74,235,Alcorn St.,SWAC,#N/A,#N/A,2/14/1973,1,1995
2004,Brett Favre,35,Gulfport,MS,GNB,74,225,Southern Miss,Conference USA,104,85,10/10/1969,2,1991
2001,Aaron Brooks,25,Newport News,VA,NOR,76,220,Virginia,ACC,90,95,3/24/1976,4,1999
1999,Stephen Davis,25,Spartanburg,SC,WAS,73,230,Auburn,SEC,130,61,3/1/1974,4,1996
2002,Trent Green,32,Cedar Rapids,IA,KAN,75,217,Indiana,Big Ten,58,118,7/9/1970,8,1993
2002,Tom Brady,25,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2007,Derek Anderson,24,Portland,OR,CLE,78,229,Oregon St.,Pac 12,111,76,6/15/1983,6,2005
2011,Arian Foster,25,San Diego,CA,HOU,73,232,Tennessee,SEC,113,75,8/24/1986,0,0
2002,Charlie Garner,30,Fairfax,VA,OAK,70,190,Tennessee,SEC,113,75,2/13/1972,2,1994
2005,Tom Brady,28,San Mateo,CA,NWE,76,0,Michigan,Big Ten,124,64,8/3/1977,6,2000
2003,Trent Green,33,Cedar Rapids,IA,KAN,75,0,Indiana,Big Ten,58,118,7/9/1970,8,1993
1999,Eddie George,26,Philadelphia,PA,TEN,75,235,Ohio St.,Big Ten,138,41,9/24/1973,1,0
2008,Peyton Manning,32,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2004,Corey Dillon,30,Seattle,WA,NWE,73,225,Washington,Pac 12,86,98,10/24/1974,2,1997
2003,Steve McNair,30,Mount Olive,MS,TEN,74,0,Alcorn St.,SWAC,#N/A,#N/A,2/14/1973,1,1995
2008,Donovan McNabb,32,Chicago,IL,PHI,74,0,Syracuse,ACC,81,101,11/25/1976,1,1999
2011,Mark Sanchez,25,Long Beach,CA,NYJ,74,225,USC,Pac 12,129,49,11/11/1986,1,2009
2008,Matt Cassel,26,Northridge,CA,NWE,77,0,USC,Pac 12,129,49,5/17/1982,7,2005
2003,Matt Hasselbeck,28,Westwood,MA,SEA,76,0,Boston Col.,ACC,116,74,9/25/1975,6,1998
2013,Tom Brady,36,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2009,Ray Rice,22,New Rochelle,NY,BAL,69,195,Rutgers,Big Ten,87,96,1/22/1987,2,2008
2010,Matt Schaub,29,West Chester,PA,HOU,77,0,Virginia,ACC,90,95,6/25/1981,3,2004
2000,Ahman Green,23,Omaha,NE,GNB,73,217,Nebraska,Big Ten,134,61,2/16/1977,0,1998
2012,Andy Dalton,25,0,,CIN,74,0,TCU,Big 12,138,49,1/0/1900,2,2011
2006,Carson Palmer,27,Fresno,CA,CIN,77,0,USC,Pac 12,129,49,12/27/1979,1,2003
2013,Alex Smith,29,Seattle,WA,KAN,76,212,Utah,Pac 12,123,61,5/7/1984,1,2005
2003,Aaron Brooks,27,Newport News,VA,NOR,76,0,Virginia,ACC,90,95,3/24/1976,4,1999
2012,Josh Freeman,24,Kansas City,MO,TAM,78,0,Kansas St.,Big 12,118,71,1/0/1900,1,2009
2008,Adrian Peterson,23,Palestine,TX,MIN,70,210,Oklahoma,Big 12,160,39,3/21/1985,1,2007
2007,Brett Favre,38,Gulfport,MS,GNB,74,225,Southern Miss,Conference USA,104,85,10/10/1969,2,1991
2013,Matt Ryan,28,Exton,PA,ATL,77,224,Boston Col.,ACC,116,74,5/17/1985,1,2008
2000,Fred Taylor,24,Pahokee,FL,JAX,73,234,Florida,SEC,139,55,1/27/1976,1,1998
2001,Curtis Martin,28,Pittsburgh,PA,NYJ,71,210,Pittsburgh,ACC,106,80,5/1/1973,3,1995
2005,Peyton Manning,29,New Orleans,LA,IND,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998
2004,Aaron Brooks,28,Newport News,VA,NOR,76,220,Virginia,ACC,90,95,3/24/1976,4,1999
2012,Marshawn Lynch,26,Oakland,CA,SEA,71,215,California,Pac 12,90,94,8/2/1900,1,2007
1999,Brad Johnson,31,Marietta,GA,WAS,77,226,Florida St.,ACC,130,54,9/13/1968,9,1992
2009,Eli Manning,28,New Orleans,LA,NYG,76,0,Mississippi,SEC,92,91,1/3/1981,1,2004
2000,Robert Smith,28,Euclid,OH,MIN,74,212,Ohio St.,Big Ten,138,41,3/4/1972,1,1993
2005,Clinton Portis,24,Laurel,MS,WAS,71,205,Miami (FL),ACC,130,58,9/1/1981,2,2002
2004,Drew Brees,25,Austin,TX,SDG,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001
2010,Peyton Hillis,24,Conway,AR,CLE,73,240,Arkansas,SEC,107,80,1/21/1986,7,2008
2008,Matt Forte,23,Lake Charles,LA,CHI,73,221,Tulane,American,60,119,12/10/1985,2,2008
2001,Marvin Harrison,29,Philadelphia,PA,IND,73,175,Syracuse,ACC,81,101,8/25/1972,1,1996
2006,Tiki Barber,31,Roanoke,VA,NYG,70,200,Virginia,ACC,90,95,4/7/1975,2,1997
2004,Marc Bulger,27,Pittsburgh,PA,STL,75,215,West Virginia,Big 12,120,67,4/5/1977,6,2000
2001,Kordell Stewart,29,New Orleans,LA,PIT,73,218,Colorado,Pac 12,78,108,10/16/1972,2,1995
2003,Torry Holt,27,Greensboro,NC,STL,73,190,North Carolina St.,ACC,98,88,6/5/1976,1,1999
2010,Adrian Peterson,25,Palestine,TX,MIN,74,217,Oklahoma,Big 12,160,39,3/21/1985,1,2007
2000,Curtis Martin,27,Pittsburgh,PA,NYJ,71,210,Pittsburgh,ACC,106,80,5/1/1973,0,1995
2010,Jamaal Charles,24,Port Arthur,TX,KAN,73,200,Texas,Big 12,149,45,12/27/1986,3,2008
2008,Thomas Jones,30,Big Stone Gap,VA,NYJ,70,220,Virginia,ACC,90,95,8/19/1978,1,2000
2011,Rob Gronkowski,22,Amherst,NY,NWE,78,265,Arizona,Pac 12,82,99,5/14/1989,2,0
2012,Alfred Morris,24,Pensacola,FL,WAS,69,219,Florida Atlantic,Conference USA,50,71,8/6/1900,6,2012
2010,Eli Manning,29,New Orleans,LA,NYG,76,0,Mississippi,SEC,92,91,1/3/1981,1,2004
2002,Marvin Harrison,30,Philadelphia,PA,IND,73,175,Syracuse,ACC,81,101,8/25/1972,1,1996
1999,Marvin Harrison,27,Philadelphia,PA,IND,73,175,Syracuse,ACC,81,101,8/25/1972,1,1996
2011,Michael Vick,31,Newport News,VA,PHI,73,215,Virginia Tech,ACC,147,50,6/26/1980,1,2001
2000,Ricky Watters,31,Harrisburg,PA,SEA,73,217,Notre Dame,Independent,112,74,4/7/1969,0,1991
2009,Donovan McNabb,33,Chicago,IL,PHI,74,0,Syracuse,ACC,81,101,11/25/1976,1,1999
2013,Marshawn Lynch,27,Oakland,CA,SEA,71,215,California,Pac 12,90,94,4/22/1986,1,2007
2010,Joe Flacco,25,Voorhees,NJ,BAL,78,0,Delaware,Colonial Athletic Association,#N/A,#N/A,1/16/1985,1,2008
2007,Adrian Peterson,22,Palestine,TX,MIN,12,210,Oklahoma,Big 12,160,39,3/21/1985,1,2007
2001,Terrell Owens,28,Alexander City,AL,SFO,75,226,Tenn-Chattanooga,Southern,#N/A,#N/A,12/7/1973,3,0
2000,Charlie Garner,28,Fairfax,VA,SFO,70,190,Tennessee,SEC,113,75,2/13/1972,0,1994
2004,Muhsin Muhammad,31,Lansing,MI,CAR,74,217,Michigan St.,Big Ten,112,76,5/5/1973,2,1996
2013,Ryan Tannehill,25,Big Spring,TX,MIA,76,220,Texas A&M,SEC,107,79,7/27/1988,1,2012
2013,Knowshon Moreno,26,Belford,NJ,DEN,70,215,Georgia,SEC,142,53,7/16/1987,1,2009
2005,Steve Smith,26,Los Angeles,CA,CAR,69,185,Utah,Pac 12,123,61,5/12/1979,3,2001
2006,Jon Kitna,34,Tacoma,WA,DET,74,0,Central Washington,Division II,#N/A,#N/A,9/21/1972,0,0
2009,David Garrard,31,East Orange,NJ,JAX,73,0,East Carolina,American,97,90,2/14/1978,4,2002
2003,Fred Taylor,27,Pahokee,FL,JAX,73,234,Florida,SEC,139,55,1/27/1976,1,1998
2007,Joseph Addai,24,Houston,TX,IND,12,210,LSU,SEC,146,48,5/3/1983,1,2006
2000,Randy Moss,23,Rand,WV,MIN,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998
2007,Clinton Portis,26,Laurel,MS,WAS,12,205,Miami (FL),ACC,130,58,9/1/1981,2,2002
2005,Matt Hasselbeck,30,Westwood,MA,SEA,76,0,Boston Col.,ACC,116,74,9/25/1975,6,1998
2012,Joe Flacco,27,Voorhees,NJ,BAL,78,0,Delaware,Colonial Athletic Association,#N/A,#N/A,1/0/1900,1,2008
2000,Mark Brunell,30,Los Angeles,CA,JAX,73,217,Washington,Pac 12,86,98,9/17/1970,5,1993
2004,Tom Brady,27,San Mateo,CA,NWE,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000
2002,Donovan McNabb,26,Chicago,IL,PHI,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999
2010,Chris Johnson,25,Orlando,FL,TEN,71,195,East Carolina,American,97,90,9/23/1985,1,2008
2012,Eli Manning,31,New Orleans,LA,NYG,76,0,Mississippi,SEC,92,91,1/0/1900,1,2004
2004,Michael Vick,24,Newport News,VA,ATL,73,215,Virginia Tech,ACC,147,50,6/26/1980,1,2001
2003,Ricky Williams,26,Dallas,TX,MIA,67,195,Texas Tech,Big 12,120,70,8/29/1978,0,0
